,Country,Capital
0,Mauritius,Port Louis
1,Austria,Vienna
2,Iceland,Reykjavik
3,South Korea,Seoul
4,Bosnia and Herzegovina,Sarajevo
5,Lithuania,Vilnius
6,Malawi,Lilongwe
7,Uzbekistan,Tashkent
8,Mauritania,Nouakchott
9,Slovakia,Bratislava
10,Morocco,Rabat
11,Sweden,Stockholm
12,Indonesia,Jakarta
13,Myanmar,N.A.
14,Jamaica,Kingston
15,Ireland,Dublin
16,Zimbabwe,Harare
17,Venezuela,Caracas
18,Rwanda,Kigali
19,United Kingdom,London
20,Chad,N'Djamena
21,Italy,Rome
22,Qatar,Doha
23,Bolivia,Sucre
24,Burundi,Bujumbura
25,Iran,Tehran
26,Montenegro,N.A.
27,Cyprus,Nicosia
28,Belarus,Minsk
29,Malaysia,Kuala Lumpur
30,Congo (Brazzaville),N.A.
31,Romania,Bucharest
32,Finland,Helsinki
33,Algeria,Algiers
34,Haiti,Port-au-Prince
35,Nepal,Kathmandu
36,Costa Rica,San José
37,Nicaragua,Managua
38,Kosovo,N.A.
39,Spain,Madrid
40,Georgia,Tbilisi
41,Guinea,Conakry
42,Chile,Santiago
43,Ivory Coast,Yamoussoukro
44,Slovenia,Ljubljana
45,Germany,Berlin
46,Cameroon,Yaoundé
47,Jordan,Amman
48,Iraq,Baghdad
49,United States,Washington D.C.
50,Afghanistan,Kabul
51,Russia,Moscow
52,El Salvador,San Salvador
53,Ghana,Accra
54,Argentina,Buenos Aires
55,Sri Lanka,Colombo
56,Bulgaria,Sofia
57,Ethiopia,Addis Ababa
58,Kuwait,Kuwait City
59,Moldova,Chișinău
60,Ukraine,Kiev
61,Mali,Bamako
62,Niger,Niamey
63,Croatia,Zagreb
64,France,Paris
65,Uruguay,Montevideo
66,Zambia,Lusaka
67,Latvia,Riga
68,Syria,Damascus
69,Armenia,Yerevan
70,Australia,Canberra
71,Tajikistan,Dushanbe
72,Dominican Republic,Santo Domingo
73,Kenya,Nairobi
74,Brazil,Brasília
75,Greece,Athens
76,Palestinian Territories,N.A.
77,Bhutan,Thimphu
78,Ecuador,Quito
79,Panama,Panama City
80,Albania,Tirana
81,Burkina Faso,Ouagadougou
82,Egypt,Cairo
83,Estonia,Tallinn
84,Benin,Porto-Novo
85,Czech Republic,Prague
86,Madagascar,Antananarivo
87,Azerbaijan,Baku
88,Malta,Valletta
89,India,New Delhi
90,Peru,Lima
91,Congo (Kinshasa),N.A.
92,Honduras,Tegucigalpa
93,Saudi Arabia,Riyadh
94,China,Beijing
95,Israel,Jerusalem
96,Gabon,Libreville
97,United Arab Emirates,Abu Dhabi
98,Bahrain,Manama
99,Paraguay,Asunción
100,Philippines,Manila
101,Lebanon,Beirut
102,Portugal,Lisbon
103,Vietnam,Hanoi
104,Nigeria,Abuja
105,Uganda,Kampala
106,Mongolia,Ulan Bator
107,Botswana,Gaborone
108,Cambodia,Phnom Penh
109,Pakistan,Islamabad
110,Turkmenistan,Ashgabat
111,Switzerland,Bern
112,Thailand,Bangkok
113,Senegal,Dakar
114,Tanzania,Dodoma
115,Liberia,Monrovia
116,Libya,Tripoli
117,Togo,Lomé
118,Turkey,Ankara
119,Belgium,Brussels
120,Mexico,Mexico City
121,Serbia,Belgrade
122,Poland,Warsaw
123,Norway,Oslo
124,Japan,Tokyo
125,Sierra Leone,Freetown
126,Guatemala,Guatemala City
127,South Africa,Pretoria
128,Bangladesh,Dhaka
129,Luxembourg,Luxembourg
130,Singapore,Singapore
131,Netherlands,Amsterdam
132,Tunisia,Tunis
133,Colombia,Bogotá
134,Denmark,Copenhagen
135,Kazakhstan,Astana
136,New Zealand,Wellington
137,Yemen,Sana'a
138,Hungary,Budapest
139,Kyrgyzstan,Bishkek
140,Canada,Ottawa
